brand_name,generic_name,manufacturer,purpose
SILICEA,SILICEA,"Rxhomeo Private Limited d.b.a. Rxhomeo, Inc","Temporary Relief - Acne, Boils* * Claims based on traditional homeopathic practice, not accepted medical evidence. Not FDA evaluated."
,,,Sunscreen
Betadine,POVIDONE-IODINE,"Atlantis Consumer Healthcare, Inc.",First aid Antiseptic
,,,To relieve the symptoms of itching.
Naproxen,NAPROXEN,A-S Medication Solutions,
,,,Antiseptic
Moisturizing Antibacterial,BENZALKONIUM CHLORIDE,Walmart Inc.,Antibacterial
,,,"For the management of acne helps clear up acne blemishes, black heads, helps prevent the development of new acne pimples penetrates pores to reduce the number of acne pimples, white heads and black heads help keep skin clear of new acne pimples, white heads and black heads helps prevent new acne pimples, white heads and black heads from forming help prevent the development of new pimples, white heads and black heads"
,,,Nasal Decongestant
Quick Action,SALICYLIC ACID,Walmart Inc.,Acne medication
,,,Temporary relief of cough.
Mekinist,TRAMETINIB,Novartis Pharmaceuticals Corporation,
Glimepiride,GLIMEPIRIDE,American Health Packaging,
Methocarbamol,METHOCARBAMOL,Proficient Rx LP,
Anti Itch,HYDROCORTISONE,"Meijer, Inc.",Anti-itch
Varenicline,VARENICLINE,Aurobindo Pharma Limited,
,,,Antiseptic
,,,Pain reliever/fever reducer
Rescue Sleep,"HELIANTHEMUM NUMMULARIUM FLOWER, CLEMATIS VITALBA FLOWER, IMPATIENS GLANDULIFERA FLOWER, PRUNUS CERASIFERA FLOWER, ORNITHOGALUM UMBELLATUM, AND AESCULUS HIPPOCASTANUM FLOWER","Nelson Bach USA, Ltd.",White Chestnut (Aesculus hippocastanum) Relief from repetitive thoughts Rock Rose (Helianthemum nummularium) Courage and presence of mind Clematis (Clematis vitalba) Focus when ungrounded Impatiens (Impatiens glandulifera) Patience with problems and people Cherry Plum (Prunus cerasifera) Balanced mind when losing control Star of Bethlehem (Ornithogalum umbellatum) Softens impact of shock
Pain Reliever Extra Strength,ACETAMINOPHEN,Valu Merchandisers Company,Pain reliever/fever reducer
,,,Sunscreen
,,,Topical analgesic
,,,Cough suppressant; Expectorant; Nasal decongestant
OASIS Tears Lubricant Eye,GLYCERIN,"OASIS Medical, Inc.",lubricant Eye Drops
Thera Plus Maximum Strength Feminine Anti-Itch,"BENZOCAINE, RESORCINOL","FOURSTAR GROUP USA, INC.",External Analgesic
,,,Cell Salt; Hemorrhoids; Keloids; Migraine; Nervousness; Constipation before and during menses.
,,,Antimicrobial
Tamsulosin Hydrochloride,TAMSULOSIN HYDROCHLORIDE,"XLCare Pharmaceuticals, Inc.",
,,,Temporary relief of headache.
,,,"Reduces occasional pain, pressure and inflammation from sciatica"
"Sure Complete Confidence Antiperspirant Deodorant Aerosol, Unscented",ALUMINUM CHLOROHYDRATE,"Sodalis USA, LLC",Antiperspirant
Betamethasone Dipropionate,BETAMETHASONE DIPROPIONATE,"Sun Pharmaceutical Industries, Inc.",
,,,Antiseptic
Lights Povindone Iodine Scrub,POVIDONE-IODINE,"Lights Medical Manufacture Co., Ltd.",Antiseptic
Calcium Acetate,CALCIUM ACETATE,"Cipla USA Inc.,",
,,,Humectant
,,,To help alleviate the symptoms of grief.
,,,"dry scaly skin dry and cracked skin, body rash itching and redness intense itching behind the ears, redness, dry and cracked skin itching dry skin and itching itching rash"
